,Battery,Efficiency,Fast_charge,Range,Top_speed,acceleration..0.100.,price
288,46.3,226,330.0,205,135,11.2,43763.5
289,71.0,171,1020.0,415,250,4.0,124869.31
290,87.7,206,550.0,425,200,5.9,57759.1
291,90.6,195,690.0,465,210,4.2,114184.04
292,66.5,187,510.0,355,160,7.7,58336.8
294,46.3,250,290.0,185,130,12.1,58467.6
295,37.8,168,370.0,225,155,7.0,41409.1
296,90.6,221,610.0,410,240,3.5,151987.42
297,68.0,262,280.0,260,130,13.3,76381.75
298,60.0,171,430.0,350,160,7.0,51870.92
299,68.0,262,280.0,260,130,13.1,71269.65
300,70.5,201,470.0,350,200,4.5,71395.0
302,46.3,226,330.0,205,135,11.7,46924.5
303,68.0,257,290.0,265,130,13.3,63154.6
304,90.6,195,690.0,465,220,3.5,120669.54
305,90.0,295,310.0,305,160,12.0,71002.6
306,83.7,188,1090.0,445,260,3.2,179217.8
307,68.0,257,290.0,265,130,14.3,63154.6
308,46.3,226,330.0,205,135,11.7,44951.6
309,68.0,262,280.0,260,130,14.3,65868.7
310,74.0,195,990.0,380,200,5.5,68888.0
311,83.7,190,1080.0,440,240,4.1,130706.26
312,87.7,206,550.0,425,200,5.5,64190.1
313,71.0,187,930.0,380,230,5.4,102559.19
314,60.0,286,200.0,210,160,12.0,74181.04
315,90.0,290,310.0,310,160,12.1,79045.71
316,60.0,286,310.0,210,160,12.0,66139.02
317,37.8,168,370.0,225,155,7.0,44679.1
318,74.0,203,950.0,365,235,4.0,79679.0
320,68.0,257,290.0,265,130,13.3,65007.6
321,70.5,207,460.0,340,200,3.9,93631.0
322,68.0,257,290.0,265,130,14.3,65007.6
323,46.3,250,290.0,185,130,13.1,58467.6
324,83.7,197,1050.0,425,250,3.7,153535.22
325,83.7,197,1050.0,425,250,3.3,180774.32
326,68.0,262,280.0,260,130,14.3,64015.7
327,68.0,262,280.0,260,130,13.3,68659.1
328,46.3,257,290.0,180,130,12.1,59328.7
329,83.7,204,1010.0,410,250,2.9,217093.12
330,46.3,226,330.0,205,135,11.7,47567.6
331,21.3,158,230.0,135,135,9.0,38684.1
332,83.7,188,1090.0,445,230,5.4,108798.35
335,83.7,212,970.0,395,260,2.8,216574.28
336,68.0,262,280.0,260,130,13.3,65868.7
337,46.3,250,290.0,185,130,12.1,56614.6
